,v_1,v_2
0,-1.9740330837976154,0.21473188412994312
1,-1.6739999716240272,0.42788838465714835
2,-1.5824047216922013,0.12212436872613626
3,-1.8962629455930087,-0.1939848151841481
4,-1.7931385021064081,0.5914818164066797
5,-2.0637099781510657,-0.14074393433264173
6,-1.9541915996630932,-0.17584573718274973
7,-2.181419015175022,-0.12899678074507917
8,-2.106571279808807,-0.6328965363677652
9,-2.2177079713861048,-0.5123583878228612
10,-1.9980737905846222,0.10793370640567299
11,-2.4343731436509755,-0.16764007484138613
12,-1.7456900138569564,-0.6265663422486961
13,-2.012326658911597,-0.6659323516372133
14,-1.9800162767159095,0.5713804281610998
15,-1.828485536092243,-0.2688699226719123
16,-1.6828867657136655,0.1364183257025486
17,-1.5336414390896127,-0.8427883160676835
18,-2.084121312405435,-0.2831307118719048
19,-1.7910201876936,-0.7132721928841114
20,-1.5152402597761914,0.4161037482766677
21,-2.1841402614099303,0.47444521930097916
22,-2.0471607578750377,-0.8149231134521424
23,-1.8320993587139887,-0.07811871682255747
24,-1.999600217054209,0.03757754485755394
25,-1.8581515202593535,-0.1390191394070865
26,-1.7024351056493174,0.6218067573108454
27,-2.0371324474203854,0.3329528105001124
28,-1.4323018597430026,0.9071070770914259
29,-2.0855723169699205,-0.6540792060559903
30,-2.0048421585287053,0.43184913098897804
31,-1.889423882952224,-1.0724078194197681
32,-1.8700916959991105,0.21820257220506994
33,-1.4786507820505113,0.7351261464903717
34,-1.0747965112078037,0.5087361040834032
35,-1.1388669568408487,0.3239321918919376
36,-1.2410244492602402,-0.643023319050602
37,-1.5285169244467633,1.054630185948418
38,-1.688817991270025,-0.17199062653822814
39,-1.5386060808311113,0.3823325734530059
40,-1.4919449591021545,0.39386003958630167
41,-1.7909777856017897,-0.404660501589034
42,-1.530406938731763,0.35653968122746077
43,-1.8566732062891338,-0.11522332713910012
44,-2.049325503468271,-0.5235435456027782
45,-1.862265656429241,-0.9205879620624106
46,-1.790031715657072,-0.606964427944441
47,-2.1530126430700673,-0.3654738717984567
48,-1.6536946580650544,0.2718015245424651
49,-2.326743035457032,-0.06997521936263747
50,-1.8815083936075727,0.2518380070277752
51,-2.004813213658288,-0.4972086378954942
52,-1.7452927956529654,-0.33709763759170325
53,-1.6363795055257688,0.5991216323775609
54,-1.9869128773627385,-0.18116673574143788
55,-2.2296763471272456,-0.6456465515700508
56,-2.084165806917583,-0.17050795489883133
57,-1.9320573315232463,-0.29593020473568876
58,-2.1879304036434704,-0.6579548807374549
59,-2.1565131859511104,-1.0143702185135655
60,-2.1016990320486033,-0.6774552064381525
61,-1.8182751162182582,0.6298107583403733
62,-1.672545088096456,0.8727541187418021
63,-2.3348253315779384,0.07868573724732789
64,-1.8759379705678887,-0.29468713742930813
65,-1.68882411293547,0.7266361172146463
66,-1.4965325956787952,0.5488608044665892
67,-1.907202968032019,0.20282674291995512
68,-2.0451688441024944,0.478205269388299
69,-1.9769156252800957,-0.1454890340622006
70,-2.080366042236763,0.4972548314549897
71,-1.840327415968524,0.43169138383179945
72,-1.700167770433498,0.5800356385670677
73,-1.4680946610546626,-0.7788239495725497
74,-1.8610384894231689,-0.07046182881610383
75,-1.8164064981461414,0.07061456408147307
76,-1.7747478948657474,0.6533594028677182
77,-1.1262148925665831,0.6499362984110016
78,-2.1308391016750274,0.31548755863011607
79,-1.3313130396518535,0.14985177669472455
80,-1.9599355981114688,-0.6240261115379944
81,-1.9309208760519938,0.6326105837075812
82,-2.190620601915551,0.1892513121648176
83,-1.3176138310762986,0.5635160167975288
84,-1.4878730062985954,0.16341668443446697
85,-2.0865221298417893,-0.3263115176417638
86,-2.099112744553317,0.13394070992772775
87,-1.772000218189257,0.5288600319913761
88,-2.0688274441322276,-0.47735467584366553
