,u_1,u_2
0,-1.8158816805918043,-0.3769817461567245
1,-1.8610153633751314,-0.31370220023127077
2,-1.452831378349354,0.08084814362265261
3,-2.0840272329105987,0.07317465118643716
4,-1.695434850232732,-0.4099812938861
5,-1.4904860814861218,-0.68622880741357
6,-2.0043559092651804,0.15321258668507698
7,-1.9189794347719482,-0.3005021551045511
8,-1.9924889652046458,0.3380451306443125
9,-1.9663449502784585,-0.01930313150380749
10,-1.9713233946438102,0.12473351746952636
11,-2.1149351612683334,0.46823476274563924
12,-1.730495411159368,-0.11707329865585624
13,-1.7862577796998942,-0.20803046752793322
14,-1.358621184922243,0.13477748918052096
15,-2.0605962542303615,0.06969746696007771
16,-1.4697784174407484,-0.5005261844537752
17,-1.9614048541003772,-0.311113385274358
18,-1.7490721712331294,-0.3363017462212794
19,-1.3880444815203368,1.045585884186254
20,-1.725491217091211,-0.6969869734786256
21,-1.7456183456892111,-0.2973754093583958
22,-1.7808637347694407,-0.38608393419615034
23,-2.0455893760864985,-0.15657297468082784
24,-1.9199994384883203,0.2923035682387057
25,-1.5029350127768775,0.03881057385067899
26,-1.7157612428615945,0.20372404149933782
27,-1.81534729295892,-0.06598403212742063
28,-1.9094683065984135,-0.13451214044706974
29,-2.0578565055887204,-0.14577715996147686
30,-1.7224266505289825,-0.4504885397828759
31,-1.9123849798826624,-0.2550339829477459
32,-1.803518286149777,0.5436462996880772
33,-1.9210169106510901,-0.20574181010918222
34,-1.4185881899948982,0.9196420740448857
35,-1.8763457185223902,0.7595618069275045
36,-1.9151354132836154,0.16921640870549512
37,-2.0106207661398225,1.1271688501389916
38,-1.669334333526421,0.2942671845680906
39,-1.4919316453971176,0.07890836776976408
40,-1.7479273104602386,-0.46244500328667026
41,-1.661113304058049,0.7755889588886448
42,-1.8662047867985043,0.3948622686755085
43,-1.8648620364470634,0.29993078016812036
44,-1.8672450348453984,0.18049504210030817
45,-1.9156177033683348,0.06381052312551855
46,-1.8921223953513835,-0.32493277028202405
47,-1.8665917427410046,0.06386635676271181
48,-1.3074741930734681,-1.0090676059956047
49,-1.707581858074851,-0.5273574286764156
50,-1.6296452409388436,0.5358885735922261
51,-2.1150671495727176,-0.09827442860532055
52,-1.903038172414281,0.18582119486457768
53,-1.8430903190903447,0.1985472752163018
54,-1.6057418524159068,-0.057675083247991886
55,-1.9425104968749967,0.5754165709810767
56,-1.8453008676858467,0.37156649373986833
57,-1.800449280206347,-0.37347008792838005
58,-1.7493712215500385,-0.4473029813769394
59,-2.0294407638094083,-0.1316457665313274
60,-1.465251385541781,0.2953310385998241
61,-1.582895077246663,-0.4442588221908746
62,-1.538935921992222,-0.28974937021007013
63,-1.6920766381400383,-0.17799826404762112
64,-1.9928727422242918,0.5047267888359783
65,-1.6139610610759179,0.4593252967078647
66,-2.060364371739041,0.3828783528141298
67,-1.6896797533004988,-0.7453147153377404
68,-1.8866288972854042,-0.6077666520749467
69,-1.6833674957204183,0.11400621716803466
70,-1.8103109199196437,-0.44562671728509384
71,-1.8162755178909962,0.03707877690617208
72,-1.6724446123115855,-0.9071602914827347
73,-1.7618353048708841,0.3980030323779115
74,-1.953709321227994,-0.38368328847363947
75,-1.7163806563735122,-0.7684103739056898
76,-1.6065549373754335,-0.4570468434342067
77,-1.8392331795903678,-0.1392140031596274
78,-1.9985109458494075,-0.4280143301337132
79,-1.8715234659034339,-0.03672437440988081
80,-1.6160347437134766,0.09680221173165666
81,-1.4931439143213259,-0.05034924177899967
82,-1.7108911900090766,0.9050506227892293
83,-1.8725248990769856,0.21675435570431204
84,-1.6787838005859188,-0.17163851167254418
85,-1.7483955475620934,0.3757534402952058
86,-2.052337025851593,0.6550719851620066
87,-1.8235585805166017,0.34743861357854705
88,-1.8418823863426343,0.3798464238740222
89,-2.0859362883039405,-0.137674948539765
90,-1.8391809915687778,0.4592874079608629
91,-1.892473522655536,-0.2949496350009983
92,-1.6758412618256302,0.4283198559884734
93,-1.7617454592410613,-0.6836036845901201
94,-1.7657875967553684,0.13989099590360504
95,-1.8911903851189575,-0.08877565563252163
96,-1.6221708217752515,-0.009008112825483671
97,-1.8138131413440475,-0.300435718163219
98,-1.7492199415040324,0.3740344791476803
99,-1.6462434130864032,0.16382606370559838
100,-1.574307573988526,0.5465918159626741
101,-1.3750320811796695,-0.018714390916760904
102,-1.7027627008461497,0.051995161099535975
103,-1.367681449582475,-0.04795429888767716
104,-1.74651214659113,-0.2609425056691418
105,-1.7623929209143447,0.05148789840217726
